Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Feiertag,Umsatz_ma_7,Wochentag,Monat,Tag_des_Jahres,Umsatz_Lag_1,Umsatz_Lag_7
2013-07-01,1,148.828353112183,6.0,17.8375,15.0,20.0,0,0.0,0,7,182,0.0,0.0
2013-07-02,1,159.79375714468,3.0,17.3125,10.0,20.0,0,0.0,1,7,183,148.828353112183,0.0
2013-07-03,1,111.885593514353,7.0,21.075,6.0,61.0,0,0.0,2,7,184,159.79375714468,0.0
2013-07-04,1,168.864940979931,7.0,18.85,7.0,20.0,0,0.0,3,7,185,111.885593514353,0.0
2013-07-05,1,171.280754117955,5.0,19.975,12.0,20.0,0,0.0,4,7,186,168.864940979931,0.0
2013-07-06,1,174.552359998476,0.0,18.9625,8.0,20.0,0,0.0,5,7,187,171.280754117955,0.0
2013-07-07,1,92.6377553788373,0.0,21.375,9.0,20.0,0,146.8347877494879,6,7,188,174.552359998476,0.0
2013-07-08,1,135.500244042392,0.0,22.725,10.0,5.0,0,144.9307721680892,0,7,189,92.6377553788373,148.828353112183
2013-07-09,1,136.048382778344,0.0,23.275,8.0,5.0,0,141.5385758300412,1,7,190,135.500244042392,159.79375714468
2013-07-10,1,135.132314289581,2.0,19.6875,13.0,5.0,0,144.85953594078802,2,7,191,136.048382778344,111.885593514353
2013-07-11,1,138.549392636714,0.0,21.375,12.0,5.0,0,140.5287433203285,3,7,192,135.132314289581,168.864940979931
2013-07-12,1,101.447511461298,0.0,20.2875,7.0,5.0,0,130.55256579794892,4,7,193,138.549392636714,171.280754117955
2013-07-13,1,141.233309883732,1.0,20.125,12.0,5.0,0,125.79270149584262,5,7,194,101.447511461298,174.552359998476
2013-07-14,1,112.524365708762,5.0,17.6875,15.0,5.0,0,128.633645828689,6,7,195,141.233309883732,92.6377553788373
2013-07-15,1,161.264677322182,6.0,18.7375,12.0,5.0,0,132.31427915437328,0,7,196,112.524365708762,135.500244042392
2013-07-16,1,116.821358174215,1.0,21.1875,10.0,5.0,0,129.56756135378342,1,7,197,161.264677322182,136.048382778344
2013-07-17,1,150.572919592838,5.0,22.5125,8.0,5.0,0,131.77336211139158,2,7,198,116.821358174215,135.132314289581
2013-07-18,1,101.90072129658,1.0,23.25,11.0,5.0,0,126.53783763422958,3,7,199,150.572919592838,138.549392636714
2013-07-19,1,161.63511518654,3.0,22.475,16.0,5.0,0,135.1360667378356,4,7,200,101.90072129658,101.447511461298
2013-07-20,1,134.328076682024,0.0,23.1875,8.0,5.0,0,134.14960485187729,5,7,201,161.63511518654,141.233309883732
2013-07-21,1,66.2887578161955,0.0,26.375,8.0,5.0,0,127.54451801008206,6,7,202,134.328076682024,112.524365708762
2013-07-22,1,131.223948997842,0.0,26.1,9.0,5.0,0,123.25298539231922,0,7,203,66.2887578161955,161.264677322182
2013-07-23,1,110.315246796665,0.0,24.95,12.0,5.0,0,122.32354090981207,1,7,204,131.223948997842,116.821358174215
2013-07-24,1,141.891908195545,3.0,24.075,11.0,5.0,0,121.08339642448449,2,7,205,110.315246796665,150.572919592838
2013-07-25,1,167.701216640907,2.0,23.0875,9.0,5.0,0,130.48346718795977,3,7,206,141.891908195545,101.90072129658
2013-07-26,1,147.272084366206,3.0,27.2625,6.0,5.0,0,128.43160564219778,4,7,207,167.701216640907,161.63511518654
2013-07-27,1,161.403357795112,1.0,26.1625,10.0,5.0,0,132.29950294406748,5,7,208,147.272084366206,134.328076682024
2013-07-28,1,86.0791432446654,4.0,24.8875,13.0,61.0,0,135.12670086242034,6,7,209,161.403357795112,66.2887578161955
2013-07-29,1,183.564164400591,1.0,22.7875,10.0,61.0,0,142.6038744913845,0,7,210,86.0791432446654,131.223948997842
2013-07-30,1,132.111640117897,5.0,21.075,13.0,21.0,0,145.7176449658462,1,7,211,183.564164400591,110.315246796665
2013-07-31,1,144.745431773143,5.0,20.275,16.0,65.0,0,146.12529119121734,2,7,212,132.111640117897,141.891908195545
2013-08-01,1,157.854023011106,6.0,23.4,7.0,21.0,0,144.71854924410292,3,8,213,144.745431773143,167.701216640907
2013-08-02,1,117.359342094889,0.0,31.4375,7.0,21.0,0,140.44530034820048,4,8,214,157.854023011106,147.272084366206
2013-08-03,1,186.027178770079,4.0,23.3625,11.0,63.0,0,143.96298905891007,5,8,215,117.359342094889,161.403357795112
2013-08-04,1,104.708216687715,3.0,23.05,8.0,63.0,0,146.62428526506,6,8,216,186.027178770079,86.0791432446654
2013-08-05,1,146.775309890073,0.0,25.8,10.0,63.0,0,141.36873462070028,0,8,217,104.708216687715,183.564164400591
2013-08-06,1,131.956277381283,5.0,22.225,13.0,63.0,0,141.34653994404113,1,8,218,146.775309890073,132.111640117897
2013-08-07,1,160.593417296116,4.0,19.2125,8.0,63.0,0,143.61053787589444,2,8,219,131.956277381283,144.745431773143
2013-08-08,1,153.099424561652,7.0,16.975,12.0,20.0,0,142.9313095259724,3,8,220,160.593417296116,157.854023011106
2013-08-09,1,125.620344387906,4.0,20.3375,10.0,21.0,0,144.11145271068915,4,8,221,153.099424561652,117.359342094889
2013-08-10,1,185.177162656408,7.0,19.3625,12.0,61.0,0,143.99002183730758,5,8,222,125.620344387906,186.027178770079
2013-08-11,1,73.2088330039992,7.0,16.3875,9.0,61.0,0,139.49010988249103,6,8,223,185.177162656408,104.708216687715
2013-08-12,1,154.504729536697,7.0,16.45,11.0,63.0,0,140.59431268915162,0,8,224,73.2088330039992,146.775309890073
2013-08-13,1,134.064451548102,3.0,16.4,16.0,95.0,0,140.8954804272686,1,8,225,154.504729536697,131.956277381283
2013-08-14,1,156.972510536869,4.0,18.2625,18.0,61.0,0,140.37820803309046,2,8,226,134.064451548102,160.593417296116
2013-08-15,1,164.763795399756,3.0,19.8,8.0,61.0,0,142.04454672424816,3,8,227,156.972510536869,153.099424561652
2013-08-16,1,147.79799759804,4.0,23.575,11.0,0.0,0,145.21278289712447,4,8,228,164.763795399756,125.620344387906
2013-08-17,1,221.630418006017,6.0,20.55,7.0,0.0,0,150.42039080421145,5,8,229,147.79799759804,185.177162656408
2013-08-18,1,92.489778506026,7.0,18.5875,10.0,63.0,0,153.17481159021528,6,8,230,221.630418006017,73.2088330039992
2013-08-19,1,145.87913275728,5.0,18.4875,8.0,63.0,0,151.94258347886998,0,8,231,92.489778506026,154.504729536697
2013-08-20,1,111.842396126739,7.0,17.775,8.0,61.0,0,148.768004132961,1,8,232,145.87913275728,134.064451548102
2013-08-21,1,125.336522713024,5.0,20.125,8.0,61.0,0,144.24857730098316,2,8,233,111.842396126739,156.972510536869
2013-08-22,1,132.916428220302,4.0,21.6625,8.0,61.0,0,139.69895341820398,3,8,234,125.336522713024,164.763795399756
2013-08-23,1,162.958958703106,1.0,22.0375,14.0,61.0,0,141.86480500464202,4,8,235,132.916428220302,147.79799759804
2013-08-24,1,201.543109556297,0.0,20.85,16.0,5.0,0,138.99518951182486,5,8,236,162.958958703106,221.630418006017
2013-08-25,1,83.0226725739551,0.0,21.3875,16.0,5.0,0,137.6427458072433,6,8,237,201.543109556297,92.489778506026
2013-08-26,1,165.829031676714,0.0,20.125,15.0,5.0,0,140.49273136716243,0,8,238,83.0226725739551,145.87913275728
2013-08-27,1,118.473650434102,1.0,21.0875,12.0,5.0,0,141.44005341107143,1,8,239,165.829031676714,111.842396126739
2013-08-28,1,108.876991442649,0.0,21.3,7.0,5.0,0,139.08869180101786,2,8,240,118.473650434102,125.336522713024
2013-08-29,1,178.178023803315,3.0,20.2125,11.0,5.0,0,145.5546340271626,3,8,241,108.876991442649,132.916428220302
2013-08-30,1,133.150828452892,6.0,19.7875,8.0,5.0,0,141.29632970570344,4,8,242,178.178023803315,162.958958703106
2013-08-31,1,130.821314898435,5.0,18.35,16.0,21.0,0,131.19321618315172,5,8,243,133.150828452892,201.543109556297
2013-09-01,1,95.9704314892471,7.0,15.8625,16.0,61.0,0,133.04289602819344,6,9,244,130.821314898435,83.0226725739551
2013-09-02,1,138.408723210465,7.0,16.575,17.0,63.0,0,129.1257091044436,0,9,245,95.9704314892471,165.829031676714
2013-09-03,1,138.825618927843,7.0,18.225,11.0,21.0,0,132.03313317497802,1,9,246,138.408723210465,118.473650434102
2013-09-04,1,100.221969526295,7.0,18.125,5.0,21.0,0,130.79670147264173,2,9,247,138.825618927843,108.876991442649
2013-09-05,1,173.658100347255,0.0,21.7,8.0,21.0,0,130.150998121776,3,9,248,100.221969526295,178.178023803315
2013-09-06,1,171.415179710314,0.0,24.7,9.0,21.0,0,135.61733401569344,4,9,249,173.658100347255,133.150828452892
2013-09-07,1,186.034060963767,6.0,22.7625,7.0,21.0,0,143.50486916788373,5,9,250,171.415179710314,130.821314898435
2013-09-08,1,88.8925958109828,7.0,20.1625,8.0,61.0,0,142.49374978527453,6,9,251,186.034060963767,95.9704314892471
2013-09-09,1,169.359968504942,8.0,11.575,11.0,63.0,0,146.9153562559141,0,9,252,88.8925958109828,138.408723210465
2013-09-10,1,89.6944536084346,6.0,13.5875,11.0,65.0,0,139.8966183531415,1,9,253,169.359968504942,138.825618927843
2013-09-11,1,103.363686559795,6.0,13.9,8.0,61.0,0,140.34543507221292,2,9,254,89.6944536084346,100.221969526295
2013-09-12,1,106.474399987548,6.0,16.1125,6.0,61.0,0,130.74776359225476,3,9,255,103.363686559795,173.658100347255
2013-09-13,1,122.564626199915,6.0,17.4375,5.0,21.0,0,123.7691130907692,4,9,256,106.474399987548,171.415179710314
2013-09-14,1,174.938807466572,5.0,17.625,10.0,63.0,0,122.1840768768842,5,9,257,122.564626199915,186.034060963767
2013-09-15,1,55.1960062296304,7.0,14.8625,10.0,21.0,0,117.37027836526242,6,9,258,174.938807466572,88.8925958109828
2013-09-16,1,146.760234890658,3.0,13.1375,13.0,21.0,0,114.14174499179327,0,9,259,55.1960062296304,169.359968504942
2013-09-17,1,136.118044538363,5.0,13.1375,10.0,63.0,0,120.77368655321163,1,9,260,146.760234890658,89.6944536084346
2013-09-18,1,152.255085210606,4.0,13.05,9.0,63.0,0,127.75817207475606,2,9,261,136.118044538363,103.363686559795
2013-09-19,1,148.674992078993,5.0,14.8375,11.0,63.0,0,133.78682808781963,3,9,262,152.255085210606,106.474399987548
2013-09-20,1,110.159250328825,7.0,13.525,6.0,63.0,0,132.01463153480677,4,9,263,148.674992078993,122.564626199915
2013-09-21,1,178.263887943827,7.0,15.35,9.0,63.0,0,132.4896430315575,5,9,264,110.159250328825,174.938807466572
2013-09-22,1,86.6668973821597,6.0,17.1375,14.0,21.0,0,136.98548462477595,6,9,265,178.263887943827,55.1960062296304
2013-09-23,1,111.128410563554,7.0,17.3125,14.0,21.0,0,131.89522400661824,0,9,266,86.6668973821597,146.760234890658
2013-09-24,1,139.64144576808,8.0,15.7375,10.0,21.0,0,132.39856703943497,1,9,267,111.128410563554,136.118044538363
2013-09-25,1,117.94119333604,6.0,13.5375,7.0,61.0,0,127.49658248592553,2,9,268,139.64144576808,152.255085210606
2013-09-26,1,203.314345156607,1.0,12.9875,12.0,61.0,0,135.30220435415612,3,9,269,117.94119333604,148.674992078993
2013-09-27,1,135.507291692088,5.0,13.0125,8.0,21.0,0,138.92335312033654,4,9,270,203.314345156607,110.159250328825
2013-09-28,1,134.613756840197,0.0,13.1,8.0,21.0,0,132.68762010553226,5,9,271,135.507291692088,178.263887943827
2013-09-29,1,68.6316896995448,3.0,14.175,12.0,21.0,0,130.1111618651587,6,9,272,134.613756840197,86.6668973821597
2013-09-30,1,156.502435955326,1.0,12.825,14.0,21.0,0,136.59316549255468,0,9,273,68.6316896995448,111.128410563554
2013-10-01,1,123.397540137977,0.0,12.9125,13.0,5.0,0,134.2726075453971,1,10,274,156.502435955326,139.64144576808
2013-10-02,1,196.720969158391,1.0,12.7,10.0,5.0,0,145.5268612343044,2,10,275,123.397540137977,117.94119333604
2013-10-03,1,75.2337302417469,0.0,11.7625,12.0,5.0,0,127.22963053218152,3,10,276,196.720969158391,203.314345156607
2013-10-04,1,156.066122625816,5.0,11.2,8.0,63.0,0,130.16660637985697,4,10,277,75.2337302417469,135.507291692088
2013-10-05,1,152.280762053885,7.0,15.575,8.0,20.0,0,132.69046426752666,5,10,278,156.066122625816,134.613756840197
2013-10-06,1,92.4805772695364,7.0,15.25,6.0,20.0,0,136.09744820609689,6,10,279,152.280762053885,68.6316896995448
2013-10-07,1,124.841544023845,1.0,16.275,7.0,20.0,0,131.57446364445676,0,10,280,92.4805772695364,156.502435955326
2013-10-08,1,96.867100978839,6.0,15.1125,8.0,61.0,0,127.78440090743705,1,10,281,124.841544023845,123.397540137977
2013-10-09,1,149.761758936995,7.0,14.3125,10.0,21.0,0,121.07594230438049,2,10,282,96.867100978839,196.720969158391
2013-10-10,1,119.300284972145,5.0,10.975,6.0,21.0,0,127.37116440872306,3,10,283,149.761758936995,75.2337302417469
2013-10-11,1,123.2348187168,7.0,13.8625,20.0,10.0,0,122.6809781360065,4,10,284,119.300284972145,156.066122625816
2013-10-12,1,140.262421715801,8.0,13.025,21.0,63.0,0,120.96407237342305,5,10,285,123.2348187168,152.280762053885
2013-10-13,1,42.9967926268111,5.0,10.8625,5.0,63.0,0,113.89496028160515,6,10,286,140.262421715801,92.4805772695364
2013-10-14,1,109.863744271226,2.0,12.525,6.0,63.0,0,111.75527460265958,0,10,287,42.9967926268111,124.841544023845
2013-10-15,1,130.431802598324,7.0,10.6625,4.0,63.0,0,116.55023197687171,1,10,288,109.863744271226,96.867100978839
2013-10-16,1,146.070583461057,8.0,12.275,7.0,63.0,0,116.02292119459487,2,10,289,130.431802598324,149.761758936995
2013-10-17,1,89.9411837855476,7.0,12.0,15.0,65.0,0,111.82876388222381,3,10,290,146.070583461057,119.300284972145
2013-10-18,1,111.233698203856,1.0,9.075,9.0,65.0,0,110.11431809466038,4,10,291,89.9411837855476,123.2348187168
2013-10-19,1,121.590860465012,7.0,9.45,9.0,65.0,0,107.44695220169054,5,10,292,111.233698203856,140.262421715801
2013-10-20,1,70.1419855298474,7.0,15.1875,8.0,21.0,0,111.32483690212428,6,10,293,121.590860465012,42.9967926268111
2013-10-21,1,122.987868193302,7.0,14.2625,8.0,61.0,0,113.19971174813513,0,10,294,70.1419855298474,109.863744271226
2013-10-22,1,111.927088663048,2.0,17.6375,7.0,61.0,0,110.55618118595285,1,10,295,122.987868193302,130.431802598324
2013-10-23,1,125.816016210178,6.0,17.675,9.0,61.0,0,107.66267157868442,2,10,296,111.927088663048,146.070583461057
2013-10-24,1,123.163406361057,5.0,12.6875,12.0,61.0,0,112.40870337518577,3,10,297,125.816016210178,89.9411837855476
2013-10-25,1,113.661858634409,7.0,11.8875,7.0,61.0,0,112.75558343669333,4,10,298,123.163406361057,111.233698203856
2013-10-26,1,161.678805315967,5.0,16.775,10.0,21.0,0,118.48243270111548,5,10,299,113.661858634409,121.590860465012
2013-10-27,1,102.355195816072,6.0,14.9875,16.0,65.0,0,123.08431988486187,6,10,300,161.678805315967,70.1419855298474
2013-10-28,1,129.482192717092,7.0,14.3625,29.0,63.0,0,124.01208053111759,0,10,301,102.355195816072,122.987868193302
2013-10-29,1,112.285893935052,7.0,10.775,17.0,63.0,0,124.06333842711815,1,10,302,129.482192717092,111.927088663048
2013-10-30,1,121.506077008915,6.0,10.4375,10.0,61.0,0,123.44763282693772,2,10,303,112.285893935052,125.816016210178
2013-10-31,1,133.723541287582,5.0,11.1625,13.0,21.0,0,124.956223530727,3,10,304,121.506077008915,123.163406361057
2013-11-01,1,100.182160485504,8.0,10.625,9.0,63.0,0,123.03055236659772,4,11,305,133.723541287582,113.661858634409
2013-11-02,1,149.172348030766,8.0,8.8875,3.0,63.0,0,121.24391561156901,5,11,306,100.182160485504,161.678805315967
2013-11-03,1,97.4532740046654,6.0,10.7,15.0,21.0,0,120.54364106708235,6,11,307,149.172348030766,102.355195816072
2013-11-04,1,137.864260444157,7.0,6.8375,7.0,63.0,0,121.74107931380591,0,11,308,97.4532740046654,129.482192717092
2013-11-05,1,103.700267261952,4.0,8.9,12.0,61.0,0,120.51456121764876,1,11,309,137.864260444157,112.285893935052
2013-11-06,1,109.097001107423,4.0,8.1375,12.0,63.0,0,118.74183608886419,2,11,310,103.700267261952,121.506077008915
2013-11-07,1,118.470603286455,6.0,9.5,10.0,61.0,0,116.56284494584607,3,11,311,109.097001107423,133.723541287582
2013-11-08,1,132.796244239256,3.0,9.325,9.0,61.0,0,121.22199976781063,4,11,312,118.470603286455,100.182160485504
